timestamp,raw_gesture,stable_gesture,command,throttle,vx,vy,vz,yaw_rate,altitude,fps
1776435859.681,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.1
1776435859.698,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.0
1776435859.713,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,64.9
1776435859.728,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,64.8
1776435859.743,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.0
1776435859.759,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,64.9
1776435859.774,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.0
1776435859.790,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.0
1776435859.805,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.0
1776435859.822,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,64.8
1776435859.836,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,64.9
1776435859.851,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,65.0
1776435859.867,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,64.9
1776435859.882,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,64.9
1776435859.898,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,64.9
1776435859.914,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,64.8
1776435859.930,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,14.47,64.7
1776435878.900,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.6
1776435878.921,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.9
1776435878.936,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,62.1
1776435878.952,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.9
1776435878.968,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.7
1776435878.983,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.8
1776435878.999,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.9
1776435879.016,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.5
1776435879.031,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.6
1776435879.047,No Hand,NONE,HOVER,1.00,0.00,0.00,0.00,0.0,11.63,61.6
