timestamp,raw_gesture,stable_gesture,stable_ratio,current_intent,candidate_intent,fps
2026-04-24 18:18:13,TWO_FINGERS,TWO_FINGERS,0.88,HOVER,FORWARD,10.8
2026-04-24 18:18:13,TWO_FINGERS,TWO_FINGERS,1.00,FORWARD,FORWARD,10.3
2026-04-24 18:18:14,TWO_FINGERS,TWO_FINGERS,1.00,FORWARD,FORWARD,9.5
2026-04-24 18:18:14,TWO_FINGERS,TWO_FINGERS,1.00,FORWARD,FORWARD,8.8
2026-04-24 18:18:14,UNKNOWN,TWO_FINGERS,0.88,FORWARD,FORWARD,8.2
2026-04-24 18:18:15,TWO_FINGERS,TWO_FINGERS,0.88,FORWARD,FORWARD,7.6
2026-04-24 18:18:15,TWO_FINGERS,TWO_FINGERS,0.88,FORWARD,FORWARD,7.2
2026-04-24 18:18:15,TWO_FINGERS,TWO_FINGERS,0.88,FORWARD,FORWARD,6.7
2026-04-24 18:18:16,UNKNOWN,TWO_FINGERS,0.75,FORWARD,FORWARD,6.3
2026-04-24 18:18:16,TWO_FINGERS,TWO_FINGERS,0.75,FORWARD,FORWARD,5.9
2026-04-24 18:18:17,TWO_FINGERS,TWO_FINGERS,0.75,FORWARD,FORWARD,5.6
2026-04-24 18:18:17,TWO_FINGERS,TWO_FINGERS,0.75,FORWARD,FORWARD,5.3
2026-04-24 18:18:17,UNKNOWN,TWO_FINGERS,0.75,FORWARD,FORWARD,5.1
2026-04-24 18:18:18,OPEN_PALM,UNSTABLE,0.62,FORWARD,FORWARD,4.8
2026-04-24 18:18:18,TWO_FINGERS,UNSTABLE,0.62,HOVER,HOVER,4.6
2026-04-24 18:18:18,UNKNOWN,UNSTABLE,0.50,HOVER,HOVER,5.9
2026-04-24 18:18:18,TWO_FINGERS,UNSTABLE,0.62,HOVER,HOVER,8.6
2026-04-24 18:18:18,UNKNOWN,UNSTABLE,0.50,HOVER,HOVER,12.2
2026-04-24 18:18:18,UNKNOWN,UNSTABLE,0.50,HOVER,HOVER,12.8
2026-04-24 18:18:18,UNKNOWN,UNSTABLE,0.62,HOVER,HOVER,16.2
2026-04-24 18:18:18,UNKNOWN,UNSTABLE,0.62,HOVER,HOVER,19.1
2026-04-24 18:18:18,UNKNOWN,UNSTABLE,0.75,HOVER,HOVER,19.4
2026-04-24 18:18:18,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,18.6
2026-04-24 18:18:19,UNKNOWN,UNSTABLE,0.88,HOVER,HOVER,17.9
2026-04-24 18:18:19,UNKNOWN,UNSTABLE,1.00,HOVER,HOVER,16.3
2026-04-24 18:18:19,UNKNOWN,UNSTABLE,1.00,HOVER,HOVER,15.8
2026-04-24 18:18:19,UNKNOWN,UNSTABLE,1.00,HOVER,HOVER,14.8
2026-04-24 18:18:19,OPEN_PALM,UNSTABLE,0.88,HOVER,HOVER,14.4
2026-04-24 18:18:19,OPEN_PALM,UNSTABLE,0.75,HOVER,HOVER,13.5
2026-04-24 18:18:19,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,13.2
2026-04-24 18:18:19,OPEN_PALM,UNSTABLE,0.50,HOVER,HOVER,13.1
2026-04-24 18:18:19,OPEN_PALM,UNSTABLE,0.62,HOVER,HOVER,12.8
2026-04-24 18:18:20,OPEN_PALM,OPEN_PALM,0.75,HOVER,HOVER,12.8
2026-04-24 18:18:20,OPEN_PALM,OPEN_PALM,0.88,HOVER,HOVER,12.0
2026-04-24 18:18:20,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.9
2026-04-24 18:18:20,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.0
2026-04-24 18:18:20,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.8
2026-04-24 18:18:20,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.8
2026-04-24 18:18:20,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.6
2026-04-24 18:18:20,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.6
2026-04-24 18:18:20,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.6
2026-04-24 18:18:20,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.6
2026-04-24 18:18:21,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.6
2026-04-24 18:18:21,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.1
2026-04-24 18:18:21,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,11.3
2026-04-24 18:18:21,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.4
2026-04-24 18:18:21,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.2
2026-04-24 18:18:21,OPEN_PALM,OPEN_PALM,1.00,HOVER,HOVER,12.2
